,job_id,date_posted,scraping_date,title,location,company,industry,job_level,job_type,workplace_type,company_size,total_applicants
358,359,6 days ago,2023-06-08,Full Stack Engineer ( Dot Net Core),"Vadodara, Gujarat, India",Investis Digital,Advertising Services,Mid-Senior level,Full-time,On-site,"501-1,000 employees",31
359,360,4 days ago,2023-06-08,Software Consultant,"Hyderabad, Telangana, India",Hexagon Asset Lifecycle Intelligence,Software Development,Mid-Senior level,Full-time,Hybrid,"10,001+ employees",118
360,361,18 hours ago,2023-06-08,Lead Business Analyst,"Sydney, New South Wales, Australia",Transport for NSW,Truck Transportation,,Full-time,Hybrid,"10,001+ employees",11
361,362,3 weeks ago,2023-06-08,Data Analyst IV,"Houston, TX",HonorVet Technologies,Staffing and Recruiting,Associate,Contract,On-site,"501-1,000 employees",0
362,363,3 weeks ago,2023-06-08,Sr Principal Software Engineer - Java,"Noida, Uttar Pradesh, India",UKG,Software Development,,Full-time,Hybrid,"10,001+ employees",75
363,364,10 hours ago,2023-06-08,EL 1 Business Analyst,"Job, Auvergne-Rhône-Alpes, France",face2face Recruitment,Staffing and Recruiting,Mid-Senior level,Full-time,On-site,11-50 employees,2
364,365,1 day ago,2023-06-08,Employer Reporting Analyst,"Mission Hill, SD",State of Massachusetts,Government Administration,Full-time,,On-site,1-10 employees,0
365,366,3 hours ago,2023-06-08,Data Scientist (Entry Level)- US/Canada,"San Francisco, CA",Patterned Learning AI,Software Development,Full-time,,Remote,"501-1,000 employees",59
366,367,2 days ago,2023-06-08,Senior PHP Developer,"Sahibzada Ajit Singh Nagar, Punjab, India",Avant Garde Digital,,,Full-time,On-site,11-50 employees,41
367,368,2 weeks ago,2023-06-08,Senior Compliance Analyst,"Bangalore, New South Wales, Australia",WPP,Advertising Services,Mid-Senior level,Full-time,Hybrid,"10,001+ employees",245
368,369,2 weeks ago,2023-06-08,Senior Machine Learning Engineer - Ads (Remote),NAMER,Quora,"Technology, Information and Internet",Mid-Senior level,Full-time,Remote,201-500 employees,151
369,370,3 weeks ago,2023-06-08,Senior DevOps Engineer,EMEA,foodics.com,,Associate,Full-time,Remote,No mention,388
370,371,1 week ago,2023-06-08,Business Analyst (LIMS),"Sheffield, England, United Kingdom",Sheffield Teaching Hospitals NHS Foundation Trust,Hospitals and Health Care,Mid-Senior level,Full-time,Hybrid,"10,001+ employees",23
371,372,2 weeks ago,2023-06-08,Senior Software Engineer (Change.org Plus),Latin America,Change.org,"Technology, Information and Internet",Mid-Senior level,Full-time,Remote,201-500 employees,364
372,373,1 week ago,2023-06-08,GCP Cloud Engineer (LATAM) - A4781,Latin America,Nisum,IT Services and IT Consulting,Entry level,Full-time,Remote,"1,001-5,000 employees",106
373,374,5 days ago,2023-06-08,"Staff Software Engineer, Multiple Teams",NAMER,Whatnot,"Technology, Information and Internet",Mid-Senior level,Full-time,Remote,201-500 employees,364
374,375,2 weeks ago,2023-06-08,Client Account Coordinator,NAMER,Ashfield Engage,Hospitals and Health Care,Entry level,Full-time,Remote,"1,001-5,000 employees",237
375,376,4 days ago,2023-06-08,Staff Site Reliability Engineer,NAMER,Ro,Hospitals and Health Care,Associate,Full-time,Remote,201-500 employees,122
376,377,3 weeks ago,2023-06-08,Business Analyst - Junior,"Toronto, ON",2iSolutions Inc.,IT Services and IT Consulting,Entry level,Full-time,On-site,51-200 employees,2
377,378,1 week ago,2023-06-08,Senior Test Automation Engineer,NAMER,Billtrust,Financial Services,Full-time,,Remote,"501-1,000 employees",1556
378,379,2 days ago,2023-06-08,Software Quality Assurance Engineer,Latin America,The Functionary,IT Services and IT Consulting,Mid-Senior level,Full-time,Remote,"501-1,000 employees",125
379,380,3 days ago,2023-06-08,Transformation Consultant,Benelux,Bleckmann,"Transportation, Logistics, Supply Chain and Storage",Associate,Full-time,Remote,"1,001-5,000 employees",373
380,381,3 weeks ago,2023-06-08,Senior Site Reliability Engineer (Database),EMEA,Wikimedia Foundation,"Technology, Information and Internet",Mid-Senior level,Full-time,Remote,"501-1,000 employees",118
381,382,2 days ago,2023-06-08,Stage | Data Analyst,"Peschiera, Lombardy, Italy",CPM Italy,Retail,Entry level,Full-time,Hybrid,51-200 employees,0
382,383,3 weeks ago,2023-06-08,Business Analyst,"New York, NY",eTeam,Staffing and Recruiting,Entry level,Contract,On-site,"501-1,000 employees",0
383,384,5 days ago,2023-06-08,Senior Oracle SOA Developer,"Hyderabad, Telangana, India",Datavail,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",27
384,385,3 weeks ago,2023-06-08,Senior Lead Engineer - Java,"Chennai, Tamil Nadu, India",Tiger Analytics,Business Consulting and Services,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",184
385,386,1 week ago,2023-06-08,"Senior Member Technical Staff 2 (Java, Microservices, Spark)","Hyderabad, Telangana, India",Model N,Software Development,Mid-Senior level,Full-time,Hybrid,"501-1,000 employees",20
386,387,2 weeks ago,2023-06-08,Salesforce CPQ Architect,"Bangalore Urban, Karnataka, India",Brillio,Information Technology & Services,Mid-Senior level,Full-time,Hybrid,"5,001-10,000 employees",37
387,388,4 days ago,2023-06-08,Scala Developer (5+ years),"Hyderabad, Telangana, India",TEKsystems,Information Technology & Services,Mid-Senior level,Full-time,Hybrid,"10,001+ employees",15
388,389,1 week ago,2023-06-08,35N Signals Intelligence Analyst,"Fort Stewart, GA",JobsInLogistics.com,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,Full-time,On-site,11-50 employees,0
389,390,12 hours ago,2023-06-08,Business Intelligence Analyst,"Brisbane, Queensland, Australia",Eden Ritchie Recruitment,Staffing and Recruiting,Contract,,On-site,11-50 employees,3
390,391,3 weeks ago,2023-06-08,Data Analyst,"Seattle, WA","InterSources Inc : SBA Certified, Minority & Women-Owned Certified Enterprise.",Information Technology & Services,Associate,Contract,On-site,51-200 employees,0
391,392,2 days ago,2023-06-08,"IT Security Analyst (Governance, Risk & Compliance) (Remote within the USA)",NAMER,Businessolver,IT Services and IT Consulting,Associate,Full-time,Remote,"1,001-5,000 employees",290
392,393,1 week ago,2023-06-08,Full stack developer,"Bangalore, New South Wales, Australia",The Weir Group PLC,Industrial Machinery Manufacturing,,Full-time,On-site,"10,001+ employees",47
